destination,climate,activities,cost_per_day
Hawaii,Tropical,Beaches,200
Paris,Temperate,Museums;Shopping,250
Switzerland,Cold,Hiking,300
Tokyo,Temperate,Shopping;Nightlife,200
Sydney,Temperate,Beaches;Nightlife,220
Alaska,Cold,Hiking,180
Bali,Tropical,Beaches;Hiking,150
London,Temperate,Museums;Shopping,240
Iceland,Cold,Hiking;Museums,280
Rio de Janeiro,Tropical,Beaches;Nightlife,190
New York,Temperate,Shopping;Museums;Nightlife,300
Dubai,Tropical,Shopping;Nightlife;Beaches,270
Cape Town,Temperate,Beaches;Hiking,200
Banff,Cold,Hiking,220
Maldives,Tropical,Beaches,350
Barcelona,Temperate,Beaches;Museums;Nightlife,230
Aspen,Cold,Hiking;Nightlife,250
Florence,Temperate,Museums;Shopping,210
Phuket,Tropical,Beaches;Nightlife,160
Reykjavik,Cold,Hiking;Museums,260
San Francisco,Temperate,Beaches;Museums;Shopping,270
Vienna,Temperate,Museums;Nightlife,230
Quebec,Cold,Hiking;Museums,220
Miami,Tropical,Beaches;Nightlife,180
Vancouver,Temperate,Beaches;Hiking,240
Moscow,Cold,Museums;Nightlife,250
Hong Kong,Tropical,Shopping;Nightlife,260
Berlin,Temperate,Museums;Nightlife,230
Kyoto,Temperate,Museums;Shopping,220
Tahiti,Tropical,Beaches,300
